,선수,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,WPA,생일
14,오지환22LSS,142,569,494,75,133,16,4,25,232,87,20,7,62,7,2,107,11,3,3,.269,.357,.470,.827,.372,138.6,5.77,2.56,1990-03-12
15,최형우20KDH,140,600,522,93,185,37,1,28,308,115,0,0,70,5,5,101,9,0,3,.354,.433,.590,1.023,.450,169.3,5.75,7.20,1983-12-16
16,터커20KRF,142,631,542,100,166,40,0,32,302,113,0,2,76,9,3,67,12,0,4,.306,.398,.557,.955,.420,149.6,5.74,2.40,1990-07-06
17,양의지21NDH,141,570,480,81,156,29,2,30,279,111,2,1,69,11,5,60,12,0,10,.325,.414,.581,.995,.443,165.4,5.74,5.64,1987-06-05
18,이정후20키RF,140,617,544,85,181,49,5,15,285,101,12,2,59,4,6,47,16,2,8,.333,.397,.524,.921,.406,142.8,5.56,3.81,1998-08-20
19,로하스19KCF,142,576,520,68,167,29,3,24,274,104,4,4,48,3,5,120,4,0,5,.321,.379,.527,.905,.405,151.3,5.49,1.20,1990-05-24
20,박병호19키1B,122,532,432,92,121,22,0,33,242,98,0,1,78,13,5,117,7,0,9,.280,.399,.560,.959,.422,165.8,5.46,2.21,1986-07-10
21,김현수20LLF,142,619,547,98,181,35,2,22,286,119,0,2,63,2,7,53,9,0,7,.331,.397,.523,.920,.407,148.4,5.31,5.17,1988-01-12
22,나성범20NDH,130,584,525,115,170,37,2,34,313,112,3,1,49,9,2,148,6,0,1,.324,.390,.596,.987,.430,153.5,5.18,4.30,1989-10-03
23,최정22S3B,121,505,414,80,110,21,0,26,209,87,12,5,66,19,3,96,6,0,6,.266,.386,.505,.891,.400,145.4,5.15,3.72,1987-02-28
24,황재균20K3B,134,600,541,108,169,35,5,21,277,97,11,6,47,5,0,98,12,3,4,.312,.370,.512,.882,.391,129.6,5.13,3.52,1987-07-28
25,페르난데스19두DH,144,645,572,87,197,34,0,15,276,88,1,2,61,6,4,54,16,0,6,.344,.409,.483,.892,.408,154.7,5.10,3.32,1988-04-27
26,구자욱21삼RF,139,610,543,107,166,30,10,22,282,88,27,4,48,6,3,98,9,1,12,.306,.361,.519,.881,.394,134.0,5.01,3.48,1993-02-12
27,터크먼22한CF,144,648,575,88,166,37,4,12,247,43,19,11,64,7,5,104,12,0,2,.289,.366,.430,.795,.365,126.8,4.98,0.80,1990-12-03
28,소크라테스22KCF,127,554,514,83,160,29,7,17,254,77,13,6,34,2,4,81,11,0,4,.311,.354,.494,.848,.380,137.0,4.97,0.61,1992-09-06
29,전준우21롯LF,144,619,552,88,192,46,0,7,259,92,6,3,53,5,0,71,10,1,8,.348,.405,.469,.874,.406,140.4,4.93,4.09,1986-02-25
30,손아섭20롯RF,141,611,540,98,190,43,0,11,266,85,5,0,61,2,4,56,9,1,7,.352,.415,.493,.907,.409,140.2,4.93,4.57,1988-03-18
31,최정20S3B,133,553,452,90,122,22,0,33,243,96,8,3,75,20,1,98,7,0,6,.270,.392,.538,.930,.409,138.8,4.92,4.52,1987-02-28
32,알테어21NCF,143,565,492,83,134,19,2,32,253,84,20,5,57,11,2,156,6,0,5,.272,.358,.514,.872,.393,132.0,4.91,2.11,1991-01-14
33,이정후19키LF,140,630,574,91,193,31,10,6,262,68,13,7,45,4,0,40,15,3,4,.336,.386,.456,.842,.386,135.1,4.88,1.39,1998-08-20
34,김현수22LLF,141,604,524,78,150,25,2,23,248,106,2,1,71,5,7,62,5,0,3,.286,.375,.473,.848,.382,145.1,4.88,2.70,1988-01-12
35,김혜성22키2B,129,566,516,81,164,18,7,4,208,48,34,7,47,0,3,83,9,0,3,.318,.373,.403,.776,.360,123.9,4.80,1.26,1999-01-27
36,최지훈22SCF,144,640,570,93,173,32,4,10,243,61,31,7,47,7,0,77,7,12,4,.304,.362,.426,.788,.357,120.8,4.78,1.77,1997-07-23
37,김재환21두LF,137,566,475,86,130,23,2,27,238,102,2,3,81,5,3,127,9,0,5,.274,.382,.501,.883,.401,148.2,4.77,2.69,1988-09-22
38,강백호19KRF,117,504,437,72,147,29,1,13,217,65,9,5,61,2,4,87,11,0,4,.336,.417,.497,.913,.415,157.4,4.74,3.83,1999-07-29
39,강백호20K1B,129,574,500,95,165,36,1,23,272,89,7,2,66,5,9,93,7,0,3,.330,.411,.544,.955,.421,149.2,4.74,3.13,1999-07-29
40,김혜성21키SS,144,634,559,99,170,20,3,3,205,66,46,4,64,1,3,97,8,0,10,.304,.371,.367,.737,.351,106.2,4.73,0.99,1999-01-27
41,박민우19N2B,125,526,468,89,161,23,8,1,203,45,18,7,41,9,1,40,10,2,6,.344,.403,.434,.836,.387,135.8,4.72,1.68,1993-02-06
42,김재환20두LF,140,613,515,82,137,26,1,30,255,113,6,0,91,1,3,154,14,0,6,.266,.374,.495,.869,.385,135.2,4.70,2.33,1988-09-22
43,박건우19두RF,127,537,458,83,146,27,5,10,213,64,12,3,60,7,0,57,23,1,11,.319,.397,.465,.863,.394,144.3,4.68,0.91,1990-09-08
44,박건우21두RF,126,525,458,82,149,31,2,6,202,63,13,0,50,11,2,72,16,0,6,.325,.400,.441,.841,.394,138.5,4.62,1.64,1990-09-08
45,양의지22NC,130,510,427,61,121,24,0,20,205,94,3,1,60,13,6,48,16,0,10,.283,.380,.480,.861,.386,140.3,4.61,0.76,1987-06-05
46,박건우22NCF,111,463,408,52,137,18,1,10,187,61,3,3,44,8,1,62,10,0,3,.336,.408,.458,.867,.400,151.9,4.47,1.02,1990-09-08
47,박민우20N2B,126,530,467,82,161,27,5,8,222,63,13,6,36,15,2,48,12,2,10,.345,.402,.475,.877,.396,132.6,4.47,1.46,1993-02-06
48,정은원21한2B,139,608,495,85,140,22,5,6,190,39,19,11,105,1,1,105,9,4,3,.283,.407,.384,.791,.379,126.6,4.46,1.76,2000-01-17
49,알테어20NCF,136,546,482,90,134,20,7,31,261,108,22,3,46,12,3,149,10,0,6,.278,.352,.541,.893,.387,124.7,4.43,2.78,1991-01-14
50,오지환20LSS,141,591,527,95,158,41,7,10,243,71,20,8,45,9,1,116,4,5,5,.300,.362,.461,.823,.368,119.9,4.41,1.21,1990-03-12
51,페르난데스20두DH,144,668,586,104,199,29,0,21,291,105,0,1,58,13,1,42,26,0,11,.340,.404,.497,.901,.406,146.5,4.40,4.31,1988-04-27
52,로맥20S1B,139,586,485,85,137,32,0,32,265,91,4,2,91,6,5,116,5,0,4,.282,.399,.546,.946,.414,142.7,4.38,4.31,1985-09-30
53,라모스20L1B,117,494,431,74,120,17,2,38,255,86,2,0,55,4,5,136,7,0,4,.278,.362,.592,.954,.407,153.6,4.35,2.45,1994-12-28
54,전준우19롯LF,141,606,545,85,164,30,1,22,262,83,8,2,46,7,2,71,19,1,7,.301,.359,.481,.839,.379,130.6,4.24,0.53,1986-02-25
55,박성한22SSS,140,564,494,68,147,24,4,2,185,56,12,8,60,2,1,81,5,6,2,.298,.375,.374,.749,.349,116.6,4.23,1.49,1998-03-30
56,러프19삼1B,133,568,472,80,138,35,2,22,243,101,6,3,80,7,6,87,18,0,9,.292,.396,.515,.911,.406,145.8,4.18,1.30,1986-07-28
57,최형우19KDH,136,555,456,65,137,31,1,17,221,86,0,1,85,7,6,77,13,0,7,.300,.413,.485,.897,.406,150.3,4.16,3.05,1983-12-16
58,오재일19두1B,130,529,467,76,137,29,1,21,231,102,2,1,55,3,1,99,5,0,4,.293,.369,.495,.863,.390,145.1,4.14,4.60,1986-10-29
59,박석민20N3B,123,448,356,58,109,15,0,14,166,63,0,1,75,10,2,62,11,2,4,.306,.436,.466,.902,.411,142.6,4.06,2.64,1985-06-22
60,황재균19K3B,124,506,447,78,127,16,3,20,209,67,10,7,52,2,2,70,10,0,5,.284,.358,.468,.825,.373,130.2,4.05,2.18,1987-07-28
61,문보경22L3B,126,466,406,52,128,22,3,9,183,56,7,0,47,1,1,56,11,5,7,.315,.382,.451,.833,.377,138.3,4.02,1.10,2000-07-19
62,로맥19S1B,137,589,504,86,139,28,1,29,256,95,6,3,73,6,3,117,11,0,6,.276,.370,.508,.878,.393,136.7,4.02,1.09,1985-09-30
63,최주환20두2B,140,573,508,63,155,29,4,16,240,86,2,2,48,6,5,66,7,1,10,.305,.365,.472,.838,.372,123.6,4.00,1.70,1988-02-28
64,이천웅19LCF,138,613,546,88,168,24,3,2,204,48,21,10,57,5,1,82,13,4,1,.308,.378,.374,.751,.353,114.3,3.98,2.02,1988-10-20
65,마티니22NLF,139,576,510,67,153,34,1,16,237,85,13,4,51,8,5,86,8,0,7,.300,.368,.465,.833,.376,134.9,3.96,0.53,1990-06-27
66,홍창기20LCF,135,507,408,87,114,29,6,5,170,39,11,5,83,10,1,87,8,3,3,.279,.411,.417,.827,.384,129.5,3.91,2.81,1993-11-21
67,나성범21NRF,144,623,570,96,160,29,1,33,290,101,1,2,38,11,2,155,5,0,4,.281,.336,.509,.844,.380,124.1,3.91,3.13,1989-10-03
68,한유섬21SRF,135,519,442,71,123,18,1,31,236,95,1,0,60,10,4,96,11,1,6,.278,.373,.534,.907,.404,138.6,3.90,1.99,1989-08-09
69,한유섬22SRF,135,545,458,62,121,33,1,21,219,100,1,1,66,16,6,137,8,0,5,.264,.373,.478,.851,.382,134.9,3.90,3.45,1989-08-09
70,추신수21SDH,137,580,461,84,122,19,2,21,208,69,25,9,103,12,4,123,8,0,4,.265,.409,.451,.860,.400,137.4,3.89,4.59,1982-07-13
71,강민호21삼C,123,462,406,55,118,22,0,18,194,67,0,0,45,4,4,53,18,0,7,.291,.362,.478,.839,.380,123.6,3.86,1.49,1985-08-18
72,박병호22K1B,124,487,429,72,118,17,0,35,240,98,5,3,40,12,3,131,7,0,6,.275,.349,.559,.909,.399,147.8,3.85,3.71,1986-07-10
73,푸이그22키RF,126,547,473,65,131,30,0,21,224,73,6,3,58,12,1,100,6,0,4,.277,.368,.474,.841,.382,143.4,3.78,1.35,1990-12-07
74,박건우20두RF,129,551,487,103,148,40,0,14,230,70,8,2,42,12,2,65,9,3,7,.304,.369,.472,.841,.375,126.5,3.78,1.67,1990-09-08
75,한동희22롯3B,129,499,456,43,140,27,0,14,209,65,0,0,33,6,2,64,15,0,4,.307,.359,.458,.817,.372,129.2,3.77,0.32,1999-06-01
76,노시환21한3B,107,458,380,56,103,18,1,18,177,84,5,2,73,1,9,107,15,0,4,.271,.387,.466,.852,.387,131.8,3.75,1.82,2000-12-03
77,정은원22한2B,140,601,508,67,140,20,2,8,188,49,10,6,85,1,0,109,10,4,3,.276,.379,.370,.749,.352,118.2,3.70,-0.81,2000-01-17
78,최재훈21한C,116,467,375,52,103,21,0,7,145,44,3,2,71,13,2,68,16,5,3,.275,.405,.387,.791,.376,124.6,3.67,1.03,1989-08-27
79,이대호22롯DH,143,591,540,53,179,23,0,23,271,101,0,0,43,2,7,56,26,0,6,.331,.379,.502,.881,.395,146.2,3.58,0.96,1982-06-21
80,오재일20두1B,127,534,471,62,147,32,0,16,227,89,2,1,61,0,1,92,12,0,2,.312,.390,.482,.872,.394,138.8,3.57,1.35,1986-10-29
81,김현수19LLF,140,595,526,75,160,37,0,11,230,82,3,1,54,6,9,52,11,0,9,.304,.370,.437,.807,.366,125.8,3.57,3.29,1988-01-12
82,허경민20두3B,117,487,437,70,145,25,1,7,193,58,14,6,35,5,2,28,10,3,7,.332,.382,.442,.824,.373,122.7,3.55,1.58,1990-08-26
83,최재훈19한C,135,451,373,47,108,18,0,3,135,31,3,10,56,14,0,61,9,4,4,.290,.398,.362,.760,.362,122.0,3.55,-0.01,1989-08-27
84,배정대20KCF,144,615,533,88,154,25,3,13,224,65,22,13,68,5,0,142,9,5,4,.289,.372,.420,.792,.362,110.3,3.55,0.95,1995-06-12
85,민병헌19롯CF,101,420,369,52,112,24,2,9,167,43,13,6,42,5,0,55,9,1,3,.304,.380,.453,.832,.382,133.4,3.53,0.10,1987-03-10
86,김재환19두LF,136,573,494,76,140,20,5,15,215,91,3,1,63,5,5,113,7,0,11,.283,.363,.435,.798,.362,123.5,3.52,2.53,1988-09-22
87,호잉19한RF,124,525,476,74,135,26,2,18,219,73,22,7,38,5,5,90,6,1,5,.284,.340,.460,.800,.359,120.9,3.51,1.69,1989-05-18
88,유한준19KDH,139,562,501,61,159,19,1,14,222,86,3,0,52,4,1,61,20,0,5,.317,.383,.443,.826,.381,133.6,3.46,4.09,1981-07-01
89,안치홍21롯2B,119,490,421,58,129,30,2,10,193,82,3,6,52,3,2,58,10,5,9,.306,.379,.458,.838,.382,124.3,3.45,1.55,1990-07-02
90,박해민22LCF,144,636,570,97,165,20,8,3,210,49,24,6,44,9,0,85,4,7,6,.289,.347,.368,.715,.331,103.9,3.45,0.60,1990-02-24
91,김선빈21K2B,130,564,501,55,154,32,0,5,201,67,0,0,56,1,2,39,19,1,5,.307,.375,.401,.776,.366,116.0,3.42,3.06,1989-12-18
92,장성우22KC,117,420,362,48,94,11,0,18,159,55,1,0,52,2,2,79,12,1,3,.260,.353,.439,.792,.360,121.8,3.39,0.50,1990-01-17
93,구자욱20삼LF,118,510,446,70,137,27,2,15,213,78,19,5,51,8,3,91,4,1,4,.307,.385,.478,.863,.387,126.6,3.38,4.53,1993-02-12
94,박해민21삼CF,127,542,454,78,132,22,1,5,171,54,36,15,69,3,2,82,3,9,7,.291,.383,.377,.759,.356,110.6,3.38,1.39,1990-02-24
95,오지환19LSS,134,547,473,63,119,23,5,9,179,53,27,5,57,7,1,113,7,7,3,.252,.339,.378,.717,.330,100.8,3.37,0.85,1990-03-12
96,유강남19LC,132,468,418,44,113,22,0,16,183,49,0,0,30,13,2,82,21,1,6,.270,.334,.438,.772,.350,117.0,3.35,-0.00,1992-07-15
97,박성한21SSS,135,471,407,53,123,21,1,4,158,44,12,5,49,1,0,73,1,12,2,.302,.377,.388,.765,.356,110.3,3.34,1.40,1998-03-30
98,손아섭21롯RF,139,610,542,88,173,29,2,3,215,58,11,6,61,3,3,67,15,3,1,.319,.390,.397,.787,.373,118.8,3.33,1.98,1988-03-18
99,김현수21LLF,140,595,506,70,144,23,1,17,220,97,3,0,77,3,5,42,7,0,9,.285,.377,.435,.811,.375,128.3,3.31,3.02,1988-01-12
100,노진혁22N3B,115,451,396,50,111,24,0,15,180,75,2,0,45,2,3,105,11,3,5,.280,.353,.455,.807,.362,125.1,3.31,1.13,1989-07-15
101,노진혁20NSS,132,484,427,70,117,22,3,20,205,82,0,4,49,5,3,106,8,3,0,.274,.356,.480,.836,.370,114.4,3.31,1.41,1989-07-15
102,박석민19N3B,112,444,360,49,96,17,1,19,172,74,1,2,65,12,2,69,17,4,3,.267,.393,.478,.871,.393,139.3,3.31,1.42,1985-06-22
103,허경민22두3B,121,493,432,59,125,23,0,8,172,60,10,3,36,16,3,40,12,2,7,.289,.361,.398,.759,.350,119.6,3.29,1.82,1990-08-26
104,한동희21롯3B,129,496,424,54,113,24,0,17,188,69,0,1,61,6,1,95,21,1,4,.267,.364,.443,.807,.373,119.0,3.28,0.85,1999-06-01
105,김상수20삼2B,120,471,404,71,123,18,3,5,162,47,10,3,55,8,1,55,16,2,2,.304,.397,.401,.798,.372,118.5,3.26,0.76,1990-03-23
106,피렐라21삼DH,140,621,553,102,158,25,2,29,274,97,9,6,57,8,2,89,8,0,3,.286,.359,.495,.855,.389,128.7,3.26,3.27,1989-11-21
107,터커19KRF,95,399,357,50,111,33,0,9,171,50,0,0,38,3,0,44,12,0,1,.311,.381,.479,.860,.393,141.4,3.25,0.56,1990-07-06
108,마차도20롯SS,144,560,486,79,136,31,1,12,205,67,15,1,54,8,2,60,20,4,8,.280,.356,.422,.778,.351,102.5,3.25,1.71,1992-02-22
109,안치홍22롯2B,132,562,493,71,140,27,3,14,215,58,7,2,51,5,4,52,13,8,5,.284,.354,.436,.790,.354,117.2,3.24,0.87,1990-07-02
110,김재환22두LF,128,517,448,64,111,24,1,23,206,72,2,1,61,4,4,133,5,0,4,.248,.340,.460,.800,.360,130.7,3.24,0.33,1988-09-22
111,홍창기22LRF,118,525,437,76,125,19,4,1,155,51,13,4,59,19,0,75,11,5,5,.286,.390,.355,.745,.353,119.2,3.17,1.27,1993-11-21
112,채은성19LRF,128,513,469,59,148,18,1,12,204,72,2,2,24,12,1,66,9,0,8,.316,.359,.435,.794,.364,124.5,3.16,-0.31,1990-02-06
113,최원준21KRF,143,668,589,82,174,21,6,4,219,44,40,13,61,11,0,68,7,4,3,.295,.371,.372,.742,.354,108.6,3.14,1.24,1997-03-23
114,나지완20KLF,137,556,468,73,136,19,1,17,208,92,0,0,64,18,1,114,6,0,6,.291,.392,.444,.837,.383,124.8,3.12,4.11,1985-05-19
115,전준우22롯LF,120,517,470,73,143,31,1,11,209,68,6,3,35,3,1,73,14,0,9,.304,.350,.445,.795,.361,121.3,3.10,1.19,1986-02-25
116,양석환21두1B,133,546,488,66,133,22,0,28,239,96,2,3,42,9,2,136,10,0,7,.273,.337,.490,.827,.373,130.3,3.10,1.93,1991-07-15
117,이용규21키LF,133,547,459,88,136,16,8,1,171,43,16,2,71,5,2,46,5,6,6,.296,.392,.373,.764,.363,112.7,3.10,1.73,1985-08-26
118,하주석21한SS,138,594,525,84,143,27,3,10,206,68,23,6,51,10,1,135,9,5,3,.272,.346,.392,.739,.345,104.4,3.09,-1.37,1994-02-25
119,박동원21키C,131,481,413,61,103,21,0,22,190,83,2,0,53,7,0,114,12,5,3,.249,.342,.460,.803,.364,120.5,3.09,1.29,1990-04-07
120,페르난데스21두DH,141,617,540,73,170,24,0,15,239,81,0,2,65,6,3,35,25,0,6,.315,.391,.443,.833,.389,136.6,3.07,1.20,1988-04-27
121,전준우20롯LF,143,628,562,95,157,34,1,26,271,96,5,5,52,8,0,79,21,3,3,.279,.347,.482,.829,.368,113.3,3.06,1.75,1986-02-25
122,박세혁19두C,137,505,441,58,123,19,9,4,172,63,8,2,41,7,1,68,5,10,6,.279,.346,.390,.736,.334,101.3,3.06,1.02,1990-01-09
123,강민호20삼C,119,393,355,46,102,14,0,19,173,61,0,0,31,4,2,54,17,0,3,.287,.349,.487,.836,.370,113.2,3.02,0.55,1985-08-18
124,박찬호22KSS,130,566,494,81,134,22,0,4,168,45,41,8,57,1,0,67,9,7,7,.271,.344,.340,.684,.319,95.0,3.02,0.62,1995-06-05
125,배정대21KCF,144,595,510,85,132,23,1,12,193,68,19,7,65,12,2,132,9,3,5,.259,.353,.378,.732,.345,101.1,3.02,-1.05,1995-06-12
126,이형종19LLF,120,482,419,56,120,24,1,13,185,63,6,5,42,10,1,78,9,1,10,.286,.358,.442,.799,.363,125.2,2.99,0.34,1989-06-07
127,김상수19삼2B,129,543,468,76,127,20,2,5,166,38,21,3,50,15,1,67,14,6,4,.271,.358,.355,.712,.334,100.0,2.97,-1.97,1990-03-23
128,정수빈20두CF,141,559,490,84,146,17,8,5,194,59,15,6,55,2,3,56,10,7,5,.298,.368,.396,.764,.348,104.3,2.95,1.48,1990-10-07
129,박동원22키KC,123,447,385,52,93,21,0,18,168,57,1,0,45,9,4,95,9,7,1,.242,.334,.436,.771,.344,111.5,2.94,-0.80,1990-04-07
130,황재균21K3B,117,507,453,74,132,16,2,10,182,56,11,4,46,3,1,92,11,1,4,.291,.358,.402,.760,.356,108.4,2.93,-0.32,1987-07-28
131,박동원19키C,112,361,317,50,94,15,1,10,141,55,1,0,34,2,0,56,10,7,1,.297,.367,.445,.812,.367,125.2,2.92,1.37,1990-04-07
132,유강남20LC,137,478,429,51,112,18,0,16,178,74,1,1,32,13,1,84,18,2,2,.261,.330,.415,.745,.337,101.7,2.91,0.77,1992-07-15
133,노진혁21NSS,107,384,330,41,95,22,0,8,141,58,1,1,42,5,0,90,3,4,3,.288,.374,.427,.801,.372,120.4,2.90,0.75,1989-07-15
134,채은성22L1B,126,526,467,48,138,26,2,12,204,83,6,7,27,21,3,88,16,0,11,.296,.354,.437,.790,.359,127.3,2.89,-0.22,1990-02-06
135,김재호19두SS,130,470,377,51,101,22,0,4,135,48,3,3,67,7,3,58,10,8,11,.268,.379,.358,.737,.342,108.2,2.89,-0.20,1985-03-21
136,김선빈22K2B,140,587,505,51,145,23,0,3,177,61,13,2,65,6,0,47,14,7,3,.287,.373,.351,.724,.341,109.6,2.88,1.39,1989-12-18
137,채은성21LRF,110,448,387,59,107,20,0,16,175,82,4,2,38,16,2,80,9,0,7,.276,.359,.452,.812,.373,128.2,2.86,2.60,1990-02-06
138,안치홍19K2B,105,408,362,45,114,18,1,5,149,49,4,2,40,1,1,37,9,0,5,.315,.380,.412,.792,.368,123.3,2.84,0.93,1990-07-02
139,서건창21키L2B,144,599,512,78,130,24,2,6,176,52,12,4,69,9,2,77,14,5,4,.254,.350,.344,.694,.331,94.8,2.83,0.14,1989-08-22
140,오재일22삼1B,135,536,470,57,126,42,0,21,231,94,2,1,58,1,8,133,7,0,7,.268,.345,.491,.837,.370,126.5,2.83,0.86,1986-10-29
141,오재일21삼1B,120,484,418,64,119,20,0,25,214,97,1,0,58,0,8,106,5,0,8,.285,.366,.512,.878,.390,129.2,2.80,3.43,1986-10-29
142,최재훈20한C,126,389,339,46,102,19,0,3,130,36,0,0,29,16,0,44,7,5,0,.301,.383,.383,.766,.358,111.1,2.77,0.51,1989-08-27
143,손아섭19롯RF,134,568,512,78,151,22,1,10,205,63,12,8,52,1,1,92,6,1,2,.295,.360,.400,.760,.353,113.9,2.75,1.70,1988-03-18
144,이형종20LRF,81,323,287,41,85,17,2,17,157,50,1,0,27,7,1,61,7,0,2,.296,.368,.547,.916,.401,146.7,2.73,0.05,1989-06-07
145,김혜성20키2B,142,553,499,80,142,24,6,7,199,61,25,7,46,2,0,94,6,2,4,.285,.345,.399,.744,.341,98.7,2.72,1.38,1999-01-27
146,정훈20롯CF,111,476,410,72,121,19,1,11,175,58,11,1,56,4,0,85,8,2,4,.295,.382,.427,.809,.371,115.9,2.68,1.87,1987-07-18
147,이재원19SC,139,502,451,33,121,19,0,12,176,75,1,0,34,9,2,59,16,1,7,.268,.327,.390,.718,.330,95.9,2.66,0.43,1988-02-24
148,조용호22KRF,131,531,474,52,146,18,4,3,181,44,5,4,49,3,3,74,3,2,3,.308,.374,.382,.756,.352,115.8,2.66,1.99,1989-09-09
149,노시환22한3B,115,490,434,55,122,24,1,6,166,59,6,2,48,4,1,95,13,0,4,.281,.355,.382,.738,.344,112.5,2.65,1.99,2000-12-03
150,황재균22K3B,141,581,519,59,136,24,3,10,196,64,6,3,53,5,5,99,17,2,2,.262,.335,.378,.713,.328,99.6,2.65,-0.18,1987-07-28
151,배정대22KCF,144,575,508,64,135,24,2,6,181,56,19,4,54,4,0,126,2,5,4,.266,.339,.356,.695,.324,96.7,2.58,-0.18,1995-06-12
152,마차도21롯SS,134,539,466,83,130,21,1,5,168,58,8,5,58,4,1,65,8,4,7,.279,.359,.361,.719,.341,98.3,2.55,-0.66,1992-02-22
153,이창진19KCF,133,470,400,57,108,25,1,6,153,48,8,8,57,4,0,92,8,4,5,.270,.363,.383,.745,.347,108.8,2.50,-0.85,1991-03-04
154,박해민20삼CF,132,541,489,84,142,18,5,11,203,55,34,12,39,3,1,77,7,7,3,.290,.345,.415,.760,.342,98.2,2.49,-0.11,1990-02-24
155,최원준20KCF,123,412,359,72,117,16,6,2,151,35,14,3,33,6,0,35,1,9,5,.326,.387,.421,.808,.365,113.3,2.49,2.31,1997-03-23
156,문성주22LDH,106,390,327,55,99,15,3,6,138,41,9,6,51,3,2,36,13,8,1,.303,.401,.422,.823,.375,136.0,2.48,0.48,1997-02-20
157,한동희20롯3B,135,531,461,62,128,22,0,17,201,67,0,3,57,5,0,97,15,5,3,.278,.361,.436,.797,.360,108.6,2.47,0.40,1999-06-01
158,알포드22KLF,80,323,283,48,81,19,1,14,144,50,5,1,33,3,3,90,3,0,4,.286,.362,.509,.871,.387,139.7,2.47,2.04,1994-07-20
159,정훈21롯1B,135,561,486,70,142,27,1,14,213,79,8,1,68,3,8,89,6,1,3,.292,.380,.438,.819,.377,121.9,2.46,0.83,1987-07-18
160,이성열19한RF,129,476,414,60,106,21,1,21,192,85,8,4,48,9,1,114,7,1,4,.256,.343,.464,.807,.364,124.7,2.45,1.76,1984-07-13
161,이명기19KNRF,139,547,484,62,142,17,3,2,171,35,14,4,48,4,2,66,12,7,4,.293,.359,.353,.713,.332,98.5,2.45,-1.33,1987-12-26
162,허경민19두3B,133,540,475,71,137,25,1,4,176,60,11,5,34,17,2,36,16,3,11,.288,.350,.371,.721,.334,102.4,2.44,-0.25,1990-08-26
163,노진혁19NSS,110,390,348,51,92,23,2,13,158,43,0,1,31,2,2,80,7,6,3,.264,.326,.454,.780,.345,107.2,2.39,-0.48,1989-07-15
164,박경수20K2B,119,391,324,33,91,17,0,13,147,59,0,1,48,9,2,96,14,3,7,.281,.381,.454,.835,.374,118.7,2.39,0.77,1984-03-31
165,추신수22SDH,112,499,409,77,106,20,1,16,176,58,15,5,71,13,1,100,6,2,4,.259,.382,.430,.813,.374,129.8,2.38,2.01,1982-07-13
166,최주환21S2B,116,470,406,50,104,16,0,18,174,67,2,1,53,9,4,84,7,0,2,.256,.353,.429,.782,.361,111.2,2.36,-0.51,1988-02-28
