,선수,G,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,타율,출루,장타,OPS,wOBA,wRC+,WAR+,WPA,생일
66,박세혁22두C,128,402,351,33,87,13,1,3,111,41,2,2,33,6,1,71,4,8,4,.248,.320,.316,.636,.295,80.4,1.29,-1.26,1990-01-09
67,이지영22키C,137,450,420,38,112,13,4,2,139,37,1,1,20,2,2,44,16,8,0,.267,.303,.331,.634,.290,75.6,1.26,-1.85,1986-02-27
68,황성빈22롯CF,102,353,320,62,94,12,4,1,117,16,10,12,22,2,0,55,2,7,2,.294,.341,.366,.707,.324,95.3,1.23,-0.39,1997-12-19
69,김태군22삼C,102,235,205,20,61,11,0,2,78,25,0,0,17,4,0,34,15,6,3,.298,.358,.380,.739,.337,106.3,1.22,-0.17,1989-12-30
70,라가레스22SLF,49,202,180,24,57,9,0,6,84,32,3,1,14,1,1,18,4,4,3,.317,.364,.467,.830,.368,126.9,1.19,1.19,1989-03-17
71,이재원22LDH,85,253,223,31,50,8,2,13,101,43,3,1,18,12,2,77,3,0,0,.224,.316,.453,.769,.346,122.0,1.19,0.61,1999-07-17
72,피터스22롯CF,85,354,316,32,72,16,0,13,127,48,7,4,26,8,1,77,5,0,4,.228,.299,.402,.701,.319,93.7,1.18,1.09,1995-12-12
73,김인태22두RF,83,279,235,25,58,6,0,5,79,25,1,0,41,3,1,47,6,0,0,.247,.366,.336,.702,.337,109.9,1.17,0.08,1994-07-03
74,안권수22두RF,76,267,239,43,71,7,2,0,82,20,3,4,26,1,0,40,6,1,0,.297,.368,.343,.712,.339,108.3,1.15,-0.47,1993-04-19
75,정수빈22두CF,127,455,405,58,105,12,4,3,134,41,15,8,39,1,1,56,2,6,4,.259,.323,.331,.654,.303,85.3,1.13,0.81,1990-10-07
76,이원석22삼3B,88,335,288,31,77,13,0,10,120,60,0,0,33,5,2,70,7,3,6,.267,.346,.417,.763,.345,110.2,1.12,1.31,1986-10-21
77,황대인22K1B,129,524,476,40,122,27,0,14,191,91,0,0,36,7,2,92,20,0,5,.256,.315,.401,.716,.327,100.0,1.08,-1.18,1996-02-10
78,전의산22S1B,77,266,241,36,60,15,1,13,116,45,0,0,24,0,3,84,6,0,1,.249,.316,.481,.797,.353,114.0,1.00,0.20,2000-11-25
79,김태연22한3B,119,464,404,46,97,18,0,7,136,53,3,2,48,5,1,106,9,3,4,.240,.325,.337,.662,.310,89.1,0.95,-1.45,1997-06-10
80,오윤석22K2B,111,337,286,23,67,13,0,6,98,37,2,1,34,6,0,69,9,5,6,.234,.322,.343,.665,.308,86.1,0.84,0.26,1992-02-24
81,김민혁22두1B,38,97,88,11,25,2,0,5,42,16,0,0,7,2,0,25,6,0,0,.284,.351,.477,.828,.377,142.7,0.79,0.11,1996-05-03
82,김민식22KSC,104,266,222,30,49,9,1,2,66,28,0,0,32,2,1,45,4,7,3,.221,.321,.297,.618,.288,73.4,0.76,-0.99,1989-06-28
83,김인환22한1B,113,429,398,48,104,14,0,16,166,54,2,0,24,3,2,111,4,0,4,.261,.305,.417,.722,.327,100.3,0.73,-1.43,1994-01-28
84,김도영22K3B,103,254,224,37,53,11,4,3,81,19,13,3,22,3,0,62,3,4,1,.237,.312,.362,.674,.309,88.1,0.72,-0.53,2003-10-02
85,가르시아22L2B,39,156,136,21,28,6,1,4,48,19,4,1,19,1,0,40,4,0,0,.206,.308,.353,.661,.310,93.1,0.59,-0.91,1993-03-28
86,김상수22삼SS,72,260,235,30,59,11,0,2,76,29,2,1,18,1,0,44,6,4,2,.251,.305,.323,.628,.291,75.2,0.56,-0.79,1990-03-23
87,박준영22N3B,75,240,208,27,45,8,1,4,67,19,7,2,27,1,0,54,6,3,1,.216,.308,.322,.630,.295,78.9,0.53,-1.16,1997-08-05
88,오선진22삼3B,100,306,268,30,74,8,0,3,91,24,2,2,18,3,0,51,5,16,1,.276,.328,.340,.667,.299,79.9,0.53,-0.72,1989-07-07
89,최주환22S2B,97,333,298,36,63,14,2,9,108,41,0,0,29,4,2,55,5,0,2,.211,.288,.362,.651,.298,79.1,0.52,-0.42,1988-02-28
90,김대한22두RF,51,110,96,13,23,6,1,4,43,11,2,1,5,6,0,27,0,2,1,.240,.315,.448,.763,.339,115.5,0.50,-0.09,2000-12-06
91,권희동22NCF,82,280,238,30,53,5,1,5,75,22,2,1,31,8,1,44,3,2,1,.223,.331,.315,.646,.307,87.4,0.49,0.39,1990-12-30
92,지시완22롯C,75,199,174,16,37,7,0,3,53,17,0,0,20,2,1,55,7,2,1,.213,.300,.305,.604,.283,68.3,0.48,-0.31,1994-04-10
93,이우성22KLF,80,137,120,23,35,7,0,1,45,12,1,3,12,1,0,20,5,4,0,.292,.361,.375,.736,.337,106.9,0.44,-1.03,1994-07-17
94,양찬열22두RF,41,94,82,15,20,4,0,3,33,12,0,0,11,0,0,23,2,1,0,.244,.333,.402,.736,.337,113.1,0.43,0.38,1997-05-25
95,고종욱22KDH,62,114,106,13,30,7,1,2,45,14,1,0,7,0,0,21,2,1,0,.283,.327,.425,.752,.341,110.4,0.40,0.63,1989-01-11
96,김기환22NCF,73,131,113,26,25,5,1,0,32,6,14,2,13,2,0,38,0,2,1,.221,.310,.283,.593,.282,71.0,0.37,-1.17,1995-08-25
97,김주형22키SS,55,130,110,16,22,7,1,1,34,5,1,0,4,13,0,29,4,2,1,.200,.305,.309,.614,.291,76.0,0.33,-0.93,1996-03-05
98,박상언22한C,56,151,134,16,30,5,1,4,49,17,0,3,11,0,0,28,2,5,1,.224,.281,.366,.647,.287,73.4,0.32,-0.83,1997-03-03
99,안승한22두C,30,39,36,5,12,3,0,0,15,8,0,0,2,0,0,12,0,1,0,.333,.368,.417,.785,.356,122.1,0.32,0.21,1992-01-25
100,손호영22L2B,36,82,74,13,19,0,2,3,32,14,0,3,6,0,0,14,2,1,1,,,,,,,0.31,0.03,1994-08-23
101,신용수22롯RF,49,73,68,8,16,4,2,2,30,7,3,1,4,1,0,15,0,0,0,,,,,,,0.30,0.19,1996-01-05
102,허도환22LC,64,92,85,7,21,5,0,1,29,6,0,0,2,2,0,26,2,3,0,,,,,,,0.29,-0.49,1984-07-31
103,이재원22SC,105,279,234,27,47,6,0,4,65,28,1,0,25,8,1,44,13,9,3,,,,,,,0.28,-1.59,1988-02-24
104,조수행22두LF,117,134,119,36,28,4,1,1,37,9,22,7,10,1,0,31,4,2,2,,,,,,,0.28,-0.74,1993-08-30
105,서건창22L2B,77,247,219,39,49,10,1,2,67,18,8,3,20,4,0,44,5,3,1,,,,,,,0.28,-1.75,1989-08-22
106,김호령22KCF,54,88,77,21,21,1,1,1,27,8,2,1,7,0,0,22,4,4,0,,,,,,,0.28,-0.63,1992-04-30
107,송찬의22L2B,33,78,72,8,17,4,0,3,30,10,2,1,2,3,0,24,0,0,1,,,,,,,0.25,-0.65,1999-02-20
108,임지열22키LF,40,148,131,16,36,6,0,1,45,15,1,0,10,2,0,43,2,3,2,,,,,,,0.25,-0.55,1995-08-22
109,장준원22K2B,35,63,57,7,14,2,0,3,25,10,1,0,3,0,0,17,5,3,0,,,,,,,0.23,0.12,1995-11-21
110,김태진22K키1B,77,276,254,37,68,5,1,0,75,20,1,2,17,1,0,30,4,3,1,,,,,,,0.23,-0.12,1995-10-07
111,라모스22KRF,18,80,72,10,18,1,1,3,30,11,2,0,4,2,0,18,2,1,1,,,,,,,0.21,-0.16,1992-04-15
112,이병헌22삼C,3,4,4,1,3,1,0,0,4,1,0,0,0,0,0,1,0,0,0,,,,,,,0.18,0.08,1999-10-26
113,최승민22NCF,44,34,34,19,11,0,0,0,11,3,6,3,0,0,0,7,1,0,0,,,,,,,0.17,-0.42,1996-07-01
114,유상빈22한LF,17,49,46,3,15,5,0,0,20,4,0,1,0,0,0,11,0,2,1,,,,,,,0.16,0.31,2000-05-09
115,김성윤22삼CF,48,49,42,14,8,3,0,1,14,2,10,2,5,1,0,10,0,1,0,,,,,,,0.15,-0.18,1999-02-02
116,김재혁22삼LF,15,39,33,5,8,1,0,0,9,3,4,0,4,1,0,9,0,0,1,,,,,,,0.15,0.10,1999-12-26
117,박정현22한SS,81,220,205,23,50,4,1,3,65,19,6,1,12,1,0,56,2,2,0,,,,,,,0.15,-1.42,2001-07-27
118,조민성22삼1B,12,16,13,3,4,0,0,1,7,3,1,0,2,1,0,7,0,0,0,,,,,,,0.15,-0.02,2003-10-02
119,권광민22한LF,32,87,71,6,16,3,1,0,21,8,0,1,13,1,0,30,0,0,2,,,,,,,0.14,-0.62,1997-12-12
120,하재훈22SLF,60,114,107,18,23,6,1,6,49,13,1,0,4,1,0,40,0,0,2,,,,,,,0.14,-0.43,1990-10-29
121,변우혁22한1B,21,61,61,5,16,3,0,3,28,8,0,0,0,0,0,21,3,0,0,,,,,,,0.14,-0.76,2000-03-18
122,김태근22두CF,2,6,4,0,2,1,0,0,3,2,0,1,1,1,0,1,0,0,0,,,,,,,0.12,0.14,1996-08-10
123,전민재22두SS,35,46,45,11,13,1,0,0,14,0,3,0,0,0,0,12,3,1,0,,,,,,,0.12,-0.11,1999-06-30
124,최경모22S3B,98,75,73,16,22,2,0,0,24,4,2,0,1,0,0,18,1,1,0,,,,,,,0.12,-0.31,1996-06-17
125,이재용22NC,8,6,5,1,1,0,0,1,4,2,0,0,1,0,0,2,1,0,0,,,,,,,0.12,-0.01,1999-02-28
126,이명기22NLF,94,341,300,36,77,13,2,0,94,23,5,4,30,3,0,56,8,6,2,,,,,,,0.11,-1.84,1987-12-26
127,김민혁22KLF,132,434,373,47,106,10,2,0,120,35,6,9,37,2,2,62,10,19,3,,,,,,,0.10,0.07,1995-11-21
128,장운호22한RF,57,146,122,12,29,3,0,1,35,15,0,2,17,3,1,24,2,2,2,,,,,,,0.10,-0.01,1994-02-20
129,오영수22N1B,83,259,231,25,55,10,0,6,83,31,0,5,22,3,0,58,4,0,3,,,,,,,0.09,0.33,2000-01-30
130,오태곤22SLF,130,295,263,48,61,15,1,4,90,23,11,4,15,9,1,68,3,5,3,,,,,,,0.08,0.06,1991-11-18
131,강현구22두LF,3,5,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,,,,,,,0.08,0.03,2002-06-16
132,문상철22K1B,28,52,49,5,11,3,0,2,20,4,1,0,3,0,0,17,2,0,0,,,,,,,0.07,-0.27,1991-04-06
133,김선우22K,3,4,3,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,,,,,,0.06,0.05,2001-01-18
134,최준우22S2B,10,16,12,0,3,0,0,0,3,1,0,0,3,0,0,3,0,0,1,,,,,,,0.05,-0.06,1999-03-25
135,송승환22두LF,11,28,28,3,7,1,0,1,11,4,0,0,0,0,0,7,0,0,0,,,,,,,0.04,0.22,2000-10-28
136,문상준22KSS,2,3,3,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,,,,,,,0.04,0.07,2001-03-14
137,김민수22롯3B,57,156,140,9,36,6,0,0,42,11,0,1,9,4,0,48,2,3,0,,,,,,,0.04,0.23,1998-03-18
138,권혁경22KC,2,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,0.04,0.02,2002-01-23
139,안상현22S2B,46,47,38,12,6,0,0,2,12,5,2,0,5,1,0,12,2,3,0,,,,,,,0.03,-0.29,1997-01-27
140,이형종22LDH,26,63,53,3,14,3,0,0,17,7,0,0,5,1,0,10,0,1,3,,,,,,,0.03,0.27,1989-06-07
141,박찬혁22키DH,52,175,161,13,34,5,0,6,57,17,0,1,9,5,0,67,1,0,0,,,,,,,0.03,-0.36,2003-04-25
142,안재석22두SS,99,264,235,22,50,10,0,3,69,17,4,0,19,4,1,71,5,4,2,,,,,,,0.02,-0.88,2002-02-15
143,강백호22KDH,62,264,237,24,58,12,0,6,88,29,0,0,23,1,2,44,6,1,2,,,,,,,0.02,0.16,1999-07-29
144,김동진22삼2B,5,4,4,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,,,,,,,0.02,0.02,1996-12-18
145,전진영22KRF,4,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,0.02,0.00,1998-04-30
146,박계범22두3B,77,168,145,21,32,8,0,2,46,14,5,3,12,3,1,40,1,6,2,,,,,,,0.02,-0.89,1996-01-11
147,박유연22두C,13,19,17,0,4,0,0,0,4,2,0,0,1,1,0,5,1,0,0,,,,,,,0.01,0.04,1998-12-20
148,안중열22롯C,33,84,71,8,11,0,0,2,17,2,0,1,11,2,0,19,2,0,0,,,,,,,0.01,-0.51,1995-09-01
149,이정범22SRF,7,11,11,2,3,0,0,0,3,1,0,0,0,0,0,2,0,0,0,,,,,,,0.00,-0.03,1998-04-10
150,최용제22두,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,,,,0.00,0.03,1991-07-12
151,박재욱22LC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1995-12-06
152,신준우22키SS,76,54,43,6,6,3,0,0,9,0,0,0,7,2,0,19,0,2,0,,,,,,,0.00,-0.23,2001-06-21
153,고명성22K,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1999-04-16
154,강상원22한,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1997-05-05
155,김재유22롯,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.03,1992-08-07
156,김태훈22키P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1992-03-02
157,박민호22SP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1992-02-25
158,주권22KP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1995-05-31
159,김명신22두P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1993-11-29
160,구승민22롯P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1990-06-12
161,이승진22두P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1995-01-07
162,박신지22두P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1999-07-16
163,홍정우22삼P,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1996-03-16
164,김진호22NP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1998-06-07
165,조요한22SP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,2000-01-06
166,원종현22NP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1987-07-31
167,이상우22KP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,2003-10-14
168,정우영22LP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1999-08-19
169,임창민22두P,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1985-08-25
170,김강률22두P,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1988-08-28
171,김서준22삼P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,2003-09-01
172,김민우22한P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1995-07-25
173,김동주22두P,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,2002-02-14
174,김택형22SP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1996-10-10
175,이용준22NP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,2002-05-08
176,백승현22LP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1995-05-26
177,이정현22KP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1997-12-05
178,허준혁22LP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,0.00,1999-07-02
